algorithm,cost,env_env_type,env_height,env_width,max_frontier_size,movement_time,nodes_expanded,path_length,success,time,timestamp
BFS-Graph,22,Complex 15x15,15,15,17,11.5,109,23,True,0.0015780925750732422,2026-01-07T17:59:19.316887
BFS-Graph,22,Complex 15x15,15,15,17,11.5,109,23,True,0.0013930797576904297,2026-01-07T18:00:27.338066
BFS-Graph,22,Complex 15x15,15,15,17,11.5,109,23,True,0.0006570816040039062,2026-01-07T18:00:32.285958
BFS-Graph,22,Complex 15x15,15,15,17,11.5,109,23,True,0.0013730525970458984,2026-01-07T18:00:35.747452
DFS-Graph,30,Complex 15x15,15,15,19,15.5,38,31,True,0.0005970001220703125,2026-01-07T18:00:40.315096
DFS-Graph,30,Complex 15x15,15,15,19,15.5,38,31,True,0.0006341934204101562,2026-01-07T18:00:44.769482
DFS-Graph,30,Complex 15x15,15,15,19,15.5,38,31,True,0.0004858970642089844,2026-01-07T18:00:48.152705
DFS-Graph,30,Complex 15x15,15,15,19,15.5,38,31,True,0.000621795654296875,2026-01-07T18:00:56.114152
UCS-Graph,22,Complex 15x15,15,15,19,11.5,110,23,True,0.0022428035736083984,2026-01-07T18:00:59.941930
UCS-Graph,22,Complex 15x15,15,15,17,11.5,106,23,True,0.001789093017578125,2026-01-07T18:01:03.685278
UCS-Graph,22,Complex 15x15,15,15,18,11.5,108,23,True,0.0016210079193115234,2026-01-07T18:01:05.969327
A*-Graph,22,Complex 15x15,15,15,17,11.5,86,23,True,0.0016939640045166016,2026-01-07T18:01:09.657290
A*-Graph,22,Complex 15x15,15,15,17,11.5,82,23,True,0.0016620159149169922,2026-01-07T18:01:11.818969
A*-Graph,22,Complex 15x15,15,15,17,11.5,81,23,True,0.0016162395477294922,2026-01-07T18:01:14.283305
A*-Graph,22,Complex 15x15,15,15,32,11.5,88,23,True,0.0019037723541259766,2026-01-07T18:01:25.859574
A*-Tree,22,Complex 15x15,15,15,349,11.5,173,23,True,0.0036096572875976562,2026-01-07T18:01:44.437488
BFS-Tree,10,Simple 10x10,10,10,105230,5.5,49552,11,True,0.393582820892334,2026-01-07T18:02:05.006737
BFS-Tree,10,Simple 10x10,10,10,105230,5.5,49552,11,True,0.3908071517944336,2026-01-07T18:02:11.002683
DFS-Tree,100,Simple 10x10,10,10,250,50.5,623,101,True,0.0056002140045166016,2026-01-07T18:02:15.294078
DFS-Tree,100,Simple 10x10,10,10,250,50.5,623,101,True,0.004359245300292969,2026-01-07T18:02:18.204950
A*-Tree,10,Simple 10x10,10,10,204,5.5,93,11,True,0.0025670528411865234,2026-01-07T18:02:27.510357
A*-Tree,10,Simple 10x10,10,10,26,5.5,12,11,True,0.0002498626708984375,2026-01-07T18:02:36.302762
